id,name,faultModeId,countBetweenFailures,iterationAtFailure
0,UC_Diag,-1,192,-1
1,Flash_Diag,-1,192,-1
2,R1_Diag,-1,192,-1
3,OC_Diag,-1,192,-1
4,R2_Diag,-1,192,-1
5,DC_DC_Diag,-1,192,-1
6,R1_Sys,-1,192,-1
7,OC1_Sys,-1,192,-1
8,R2_Sys,-1,192,-1
9,OC2_Sys,-1,192,-1
10,R3_Sys,-1,192,-1
11,OC3_Sys,-1,192,-1
12,D_Sys,-1,192,-1
13,K_Sys,6,inf,191
14,OR_Sys,-1,192,-1
15,Q_Sys,-1,192,-1
16,R4_Sys,-1,192,-1
17,F_Sys,-1,192,-1
18,DZ_Sys,-1,192,-1
19,R5_Sys,-1,192,-1
20,UC_Sys,-1,192,-1
21,Flash_Sys,-1,192,-1
22,DC_DC_Sys,-1,192,-1
23,C_Sys,-1,192,-1
