id,name,faultModeId,countBetweenFailures,iterationAtFailure
0,UC_Diag,-1,44802,0
1,Flash_Diag,-1,44802,0
2,R1_Diag,-1,44802,0
3,OC_Diag,3,inf,32694
4,R2_Diag,-1,44802,0
5,DC_DC_Diag,-1,44802,0
6,R1_Sys,-1,44802,0
7,OC1_Sys,-1,44802,0
8,R2_Sys,-1,44802,0
9,OC2_Sys,-1,44802,0
10,R3_Sys,-1,44802,0
11,OC3_Sys,-1,44802,0
12,D_Sys,-1,44802,0
13,K_Sys,3,inf,44801
14,OR_Sys,-1,44802,0
15,Q_Sys,-1,44802,0
16,R4_Sys,-1,44802,0
17,F_Sys,-1,44802,0
18,DZ_Sys,7,inf,39803
19,R5_Sys,-1,44802,0
20,UC_Sys,-1,44802,0
21,Flash_Sys,-1,44802,0
22,DC_DC_Sys,-1,44802,0
23,C_Sys,-1,44802,0
